Название;Сайт;Почта;Номер телефона;Адрес;Руководитель;Город
"""Юрист  и  коллеги"" ";http://uristkollegi.mya5.ru/;ya.collegi@yandex.ru;89101254545;ул. Ванеева, д.34;;Нижний Новгород  
"ООО ""МУЛЬТИСЕРВИС"" ";www.multi-s.com;multiservis@list.ru;79124087200;ул.Сони Кривой, д.75А оф.912;Стерхова Надежда Евгеньевна;Челябинск  
"Правовое Агенство ""Финансы и закон"" ";http://finzakon.ru/;info@finzakon.ru;8 910 3458041, 8 920 4383073;г. Воронеж, Рабочий пр-т, д. 101, оф. 407;;Воронеж  
САНТАНА ;сантана74.рф;moskvin.ov1@yandex.ru;89642400404;Молодогвардейцев, д. 60-В, ОФИС 407;Москвин Олег Владимирович;Челябинск  
"МКА ""Александровский и партнеры"" ";https://1msc.ru;a@1msc.ru;79 060 096 999;Татарская, д.18;;Москва
Юрискон ;http://registratorfirm.spb.ru;postlawbk@gmail.com;;г. Санкт-Петербург, улица Днепропетровская, дом 12, литера Ж, пом.8-Н;;Санкт-Петербург
Миропорядок.com ;http://miroporyadok.com/;info@miroporyadok.com;79182505959;г.Краснодар, ул.Красных Партизан, 226, офис 303;Малахова Ольга Григорьевна;Краснодар  
"ООО ""НОВАЦИО"" ";http://novacio.ru/;novacio.ru@mail.ru;74 957 406 240;ул. Академика Королева д.13 оф. 827;;Москва
Агентство недвижимости Милый дом ;sweethome20161234   http://sweethome.estcrimea.com/;20161234@mail.ru;79788865849;Республика Крым, г. Керчь, пер. Кооперативный, 26;;Керчь  
Центр Защиты Должников ;bankrot59.ru;czd@bankrot59.ru;73422058382;г.Пермь, ул.Островского, 59, 804;Кузьменко Андрей Николаевич;Пермь  
ЮрСтандартБизнес ;;;;;;Энгельс  
 Агентство АНТИколлектор ;rezonans799;siavik.n2016@yandex.ru;89143878772;П.Г.Т. Прогресс ул. Заводская д. 34;Никушев Вячеслав Анатольевич;
Юридическое бюро №1 ;;;79535243730;г. Вологда, ул. Октябрьская д.43, офис 14;Ожерельев Алексей Сергеевич;Вологда  
"""Чистое Право"" ";ch-pravo.ru;help@ch-pravo.ru;74954224080;Москва, ул. 4-й Верхний Михайловский проезд, д.1;;Москва
Правовая столица ;pr-stolica.ru   http://pr-stolica.ru/;pr-stolica@mail.ru;89057155252;Москва, ул. Маросейка 9/2, ст.1, офис 8;Величко Михаил Юрьевич;Москва
"""БИТ"" ";uk-bit.com;uk-bit@ya.ru;84722250788;г. Белгород, бульвар Свято-Троицкий, дом 38,5 этаж офис 5;Тимофеева Марина Сергеевна;Белгород  
"ЮК ""Свобода и Право"" ";https://svobodapravo.ru;office@svobodapravo.ru;;г. Красноярск, ул. Дубенского, 4;;Красноярск  
ОАО «РИНФИН» ;rinfin.ru   www.rinfin.ru;info@rinfin.ru;78 129 283 288;191119, г. Санкт-Петербург, ул. Марата, д. 82, лит. Ж;Фенко Дмитрий Николаевич;Санкт-Петербург
ЮРИСТ КОНС ;https://urist-kons.ru/;info@urist-kons.ru;79035490205;4 Страстной бульвар;;Москва
ООО Центр Сопровождения бизнеса ;;;;;;Красноярск  
"ЮК ""Кронберг и партнеры"" ";Kronberg.007;kronberg_partners@mail.ru;8 987 239 81 41;Казань, ул. Спартаковская, д. 23;Кронберг София Сергеевна;Казань
"ООО НПО ""Судебный эксперт"" ";;;;;;Уфа
"ООО ""Мишель"" ";;;;;;Томск  
"ООО АК ""БЭСТ"" ";;89127346686@mail.ru;8332 446686, 89127346686;г.Киров, ул. Горького, д. 5, офис 513;Чагаев Алексей Николаевич;Киров
"ООО ""Центр Содействия Бизнесу"" ";;;;;;Набережные Челны  
"ООО """"Лекс"" ";;lebedeva.urist@yandex.ru;89040166584;Тверь, ул. Академика Туполева, д.11;Лебедева Екатерина Викторовна;Тверь  
"""Для Вас"" : Юридическое направление ";pravostroy54.ru/;89930031370;89930031370;Новосибирск, ул. Гоголя, д. 44;;Новосибирск  
"ООО ""ФинЭксперт"" ";www.finexpert.su;info@finexpert.su;88 482 771 094;445037;Федоренко Дарья Дмитриевна;Тольятти  
"ООО ""Компания Эксперт Центр"" ";;e-center@mail.ru;88552468615,+79172716079;РТ,г. Набережные Челны, ул.Низаметдинова, д.16, офис 308;Рахматуллин Айдар Равилевич;Набережные Челны  
Коллегия адвокатов №10 г. Рязани г.Рязань  ;www.law62.ru;;4912769236;г. Рязань, ул. Ленинского Комсомола, д. 5, офис 21;Королев Александр Николаевич;
ООО Межрегиональный центр правовой помощи ;https://vk.com/public181267048;Mejregcentrpravpomoschi@yandex.ru;9046878342;пл. Коммунальная;;Липецк  
ООО «ЮСК» ;usk.2012   https://usk-pravo.ru/;usk_crimea@ukr.net;+7 978 80 30 222;295051, Республика Крым, г. Симферополь, проспект Кирова, д.37, кв. 13;Мамбетов Алим Асанович;Симферополь  
Приоритет-Крым ;prioritet-crimea.ru;info@prioritet-crimea.ru;+7 978 809 94 77;ул.Петропавловская, 3, оф.417,418;Процюк Алексей Николаевич;Симферополь  
СВС Консалтинг групп ;;;;;;Санкт-Петербург
ХОРУС ;www.horusmag.ru;horus_ks@mail.ru;83 519 540 481;Труда, 26;Крылова Светлана Олеговна;Магнитогорск  
ЮРИСТЫ ;https://koganiko.ru/;kollegiyaa@list.ru;"+7 902 5245500; +7 423 2362206";г. Владивосток, пер. Днепровский, стр. 5/1;;Владивосток  
"ООО ""Юридический центр ""Артикул"" ";;artikul-centr@mail.ru;9179186329, 9033050286;г.Казань, ул.Техническая, д.120, оф.206;Сатдинов Марсель Фаилович;Казань
Юридическая Служба деловое Право ;delpravo   del-pravo.ru;mail@del-pravo.ru;+7 3412 90  64  60;г. Ижевск, ул. Буммашевская, 7/1;Бессолицын Григорий Андреевич;Ижевск  
АВАЛЬ ;https://avalsamara.ru;avalsamara@bk.ru;89 023 752 371;Стара-Загора 130, офис 1;Чуприянов Кирил Олегович;Самара  
Технологический парк-Крепость ;krepost-tm   680930001   krepost-tm.ru;info@krepost-tm.ru;+7 383 255?33?35;Красный проспект, 220 к2;;Новосибирск  
Notiss ;https://notiss.ru;info@notiss.ru;84959975083;119334, Москва, Ленинский проспект, 34/1;Кириков Александр Андреевич;Москва
"ООО ""Бухгалтерия Бизнеса"" ";;anna.terekhova@bb4you.ru;79 232 440 354;630049, г.Новосибирск, Кр.проспект, д.79, офис 303;Кожомина Светлана Александровна;Новосибирск  
Коллегия адвокатов ;https://адвокат-владивосток.рф/;kollegiyaa@list.ru;79 025 245 500;690062 г. Владивосток, пер. Днепровский, стр. 5/1;Д.;Владивосток  
"ООО ""Авалист"" ";http://www.iuristnsk.ru;iuristnsk@inbox.ru;79833123876;ул. Красный проспект, дом 220, корпус 1, офис 484;;Новосибирск  
"""СОЛМИ"" ";;;;;;Екатеринбург  
"Гаврюшкин &amp; Партнеры ";http://patent-law.ru;;83 513 571 717;Челябинская обл., г. Миасс, пр. Автозаводцев, д. 47;Гаврюшкин Сергей Николаевич;Миасс  
Кодекс ;http://codexnn.ru;mail@codexnn.ru;88 005 508 252;Нижний Новгород, Генкиной, 40, оф. 6;Мирошниченко Наталья;Нижний Новгород  
award group ;;;89600120122;Архангельск, ул. Гайдара, д. 12;;Архангельск
ГарантЮрист ;;;;;;Петропавловск-Камчатский  
Юридический департамент ;www.legal-60.ru;legalno@bk.ru;88 112 571 030;"180007, Россия, Псков, Рижский проспект, 5А;";Мамедов Эмиль Юрьевич;Псков  
"ООО ""Кодекс"" ";;;;;;Бийск  
ПРАВОВОЙ РЕГИОН ;http://pravregion.ru/;pravregion@yandex.ru;74 732 928 324;394038, г. Воронеж, ул Пеше-Стрелецкая, д.28А, офис 17;Баранникова Екатерина Владимировна;Воронеж  
Адвокаты по уголовным делам ;advokat-po-ugolovnym-delam.pro;info@advokat-po-ugolovnym-delam.pro;88 126 034 973;Ораниенбаумская,д.27;Игорь Сергеевич Мирзоев;Санкт-Петербург
"ООО ""НОВАЦИО"" ";www.novacio.ru;info@novacio.ru;74957406240;г. Москва ул. Проспект Мира д. 61;Сорокин Илья Николаевич;Москва
  СК-Групп Волгоград ;;sk-group.vlg@yandex.ru;88442598886;ул.Ленина,д.9,каб.59;;Волгоград 
"ООО ЮА ""Регистратор"" ";;;;;;Москва
"ИООО ""Защита прав потребителей"" ";goy-38;3801119596@mail.ru;89500650808;г.Ангарск, 205 кв-л, стр. 3, оф. 202;Бояринова Александра Константиновна;Иркутск  
"Юридическая фирма ""Советник"" ";;Sovetnik-ryazan@mail.ru;4912 953883, 89036413045;390000 г.Рязань, Первомайский просп. 13 оф. 407;Нариманов Эльдар Нариманович;Рязань  
Город 382 ;;;;;;Томск  
Алко-Бизнес ;;;;;;Москва
"""КОТ"" ";;;;;;Москва
"ООО ""ЮК ""ГАРАНТ"" ";;oooykgarant@mail.ru;89087879563;"ТОЦ ""ПЕТЕРГОФФ"", г. Белгород, пер. 2-ой Мичуринский, д.1, 2 эт., оф.202";Немчилова Ольга Сергеевна;Белгород  
ООО ЮристЪ ;https://vk.com/urist_rt;urist.kazan@mail.ru;8 435 543 093;Казань, Лукницкого, 5, оф.109, 102, 103;Каримова Оксана Павловна;Казань
"""Кожин &amp; Строгонова"" ";http://ks-law.ru;info@ks-law.ru;73 422 582 174;Пермь, ул. Кронштадская, 51;;Пермь  
Equity Law ;;;;;;Новосибирск  
Городская Юридическая Компания ;http://ufafemida.ru;;73 472 164 766;Республика Башкортостан г.Уфа, ул.50 Лет СССР 30 корпус 5Б офис №15;Латыпов Т.Я.;Уфа
ООО Антикризисное управление ;;;;;;Омск  
ООО АВН групп ;;;;;;Москва
АВТАРКИЯ ФПЦ НК ;http://nalog-kons.nethouse.ru;avtarkiy@mail.ru;3 852 607 247;г.Барнаул, проспект Ленина, 103а;;Барнаул  
Юридическое бюро Шаповалова ;;;;;;Иваново
ЮрКонсультПлюс ;;;;;;Первоуральск  
Юридический Центр Ситниковой ;Акем.рф;Urcentersit@gmail.com;89134261035;Кемерово пр.Кузнецкий 15;Ситникова Екатерина Владимировна;Кемерово  
"""Вертум"" ";;;;;;Челябинск  
Никитин и партнеры ;www.nikitin-partners.ru;nikpart@bk.ru;84712746806;г.Курск, ул.Литовская 12А, офис 107;Никитин Олег Владимирович;Курск  
Байкальский юридический центр ;;;;;;Иркутск  
Защитник плюс ;;;;;;Москва
ЮКОМ ;https://www.ucomus.ru/;ucomus@mail.ru;79045435434;г. Екатеринбург, ул. Вайнера 51Б;;Екатеринбург  
Единый центр регистрации (ЕЦР) ;;;;;;Москва
"""Аметист"" ";www.avtoyuristnn.ru;ametistnn@bk.ru;88314238826;г.Нижний Новгород,ул.Полтавская,д.22.оф.1;Квашнин Вячеслав Вадимович;Нижний Новгород  
МЦЮФО ;;;88 612 553 636;Краснодар, Новокузнечная улица, дом 14;;Краснодар  
Юридические услуги БизнесКонсалт ;;;;;;Нижний Новгород  
"ЦПУ ""Юрконсульт"" ";yourasov1986   www.cpu-yurconsult.umi.ru;yur-konsult@bk.ru;88452909133;г.Саратов, ул.Астраханская, 118В;Юрасов Роман Валерьевич;Саратов  
"ООО ЦПБПП ""Бизнес и Налоги"" ";;bin552561@mail.ru;89624409161;г. Ставрополь, пр-кт Кулакова, 27А, офис 509;Ушанёва Алла Викторовна;Ставрополь  
Коллегия юристов ;http://kollegia-urist.ucoz.ru/;Kollegia-uristov@yandex.ru;79288408989;Офис в Краснодаре: ул.Митрофана Седина, дом 106;Колиева Елена Владимировна;Краснодар  
Терехов Максим Александрович ;;;;;;Москва
"ГК ""ЛЕГАЛАЙД"" ";;s_subbotina@legalaid-spb.ru;78129043724;Санкт-Петербург, ул. Взлетная, д.7, корп.1;Субботина Светлана Владимировна;Санкт-Петербург
Юристы, города Якутска ;urhelp14.ru;721551@mail.ru;84112390202;г. Якутск, ул. Дзержинского 26/4 офис 403 б;Иванов Иннокентий Лукич ;Якутск  
Олег Чернавин ;;;;;;Самара  
Паритет ;;;;;;Новосибирск  
Казаков и партнеры ;kip76.ru;Kip.yar@mail.ru;74 852 683 484;ул. Чайковского, д. 40;Казаков И.В.;Ярославль  
Общество прав потребителей ;http://prava-potrebitela.ru/;info@prava-potrebitela.ru;78 126 034 502;190031, РФ, Санкт-Петербург,  Спасский пер., дом 12;Ермаков Андрей Валерьевич;Санкт-Петербург
"ООО ""Атторней"" ";;;;;Жукова Елена Влавдимировна;Йошкар-Ола  
ДЕПАРТАМЕНТ ЮРИДИЧЕСКИХ УСЛУГ ;;gritos@mail.ru;89641028777;Иркутск ул. Байкальская 291 офис 812;Высоцкая Юлия Викторовна;Иркутск  
"ЗАО ""Правовые интересы"" ";www.juristonline.ru;pravinteres@mail.ru;83 432 060 050;8 марта, 12а  офис 816а, 820;Филонов Александр Юрьевич;Екатеринбург  
"ООО ""Право Закона"" Jus Lege SRL ";www.jualege.ru;juslege@yandex.ru;+7495 902 54 48;125239, г. Москва, ул. Коптевская, д. 73, стр. 1;Кутняк С.Н.;Москва
Цезарь Консалтинг ;http://цезарь-консалтинг.рф/;cezar-konsalting@mail.ru;74 951 504 407;Москва, ул. Бутлерова, д. 17Б, офис 511;Кучмазоков Аскер Мухарбекович ;Москва
Универсальная юридическая служба ;https://udmurist.ru/;udmurist@gmail.com;79 120 128 412;Ижевск, ул. К. Маркса 2, офис 507;Сафаргалина Альфира Изаватовна;Ижевск  
Адвокатская контора № 11 ;www.advokatstav11.ru;advokatstav11@mail.ru;8652 216361, 751156;355037, г. Ставрополь, ул.Доваторцев,30Б, оф.445;Борцова Н.Ю.;Ставрополь  
"Юридическое агентство ""ПРАКТИК"" ";казань-юрист.рф;praktik-vkz@yandex.ru;79 673 617 326;Калинина, д. 1;;Казань
"ООО ""Инвест-Консалтинг"" ";;invest_consulting@icloud.com;79995852946;456205, Челябинская область, г. Златоуст, пос. ЗЭС Челябэнерго, 1-2;Багдасарян Андрей Арамович;Златоуст  
ООО «Ваш личный юрист» ;;;;;;
"Юридическая фирма ""Право61"" ";pravo61   www.pravo61.ru;pravo@pravo61.ru;8 632 751 661;г. Ростов-на-Дону, пр. Ворошиловский, 46/176, оф. 410;Литвинов Андрей Евгеньевич;Ростов-на-Дону  
"Владимиров &amp; Партнёры ";https://vladimirov.group;vladimirov.par@mail.ru;+7 8452 235320, +7 8452 238124;410028, Россия, г. Саратов, ул. Советская, д.18, кв.2;;Саратов  
"ООО ЕЦО ""УправКом"" ";www.upravk.ru;upravkom74@gmail.com;83512672220;пр.Победы 160, оф.424а;Сыромятникова Татьяна Геннадьевна;Челябинск  
Управление по защите прав ;;yurist35.vologda@mail.ru;88 172 706 263;"г. Вологда, ул. Мира, д. 6а ( ТЦ ""Старый рынок"") первый этаж, офис 3";Серкова Мария Михайловна ;Вологда  
Правовой Стандартъ ;pravostandart1   http://pravostandart.ru/;pravostandart43@yandex.ru;"8332423362; 214488; 212299";г. Киров, ул. Герцена, д. 15, офис 13;Чернядьева Екатерина Александврона;Киров
"АНО ""Центр юридической помощи"" ""Защита"" ";;;;;;Архангельск
Центр правовой поддержки Новация ;www.novacia-vrn.ru;novacia-vrn@mail.ru;74732948587;г. Воронеж, ул. Г. Лизюкова, д. 17а оф. 411;Лыткина Марина Андреевна;Воронеж  
МаксимА ;;;;;;Владимир  
Ремез и Партнеры, юр.фирма ;remezlaw.com;info@remezlaw.com;73 822 586 010;улица Гагарина, д. 7, оф. 504, Томск 634050, Россия;Ремез Анжелика Павловна;Томск  
"Коллегия адвокатов г. Москвы ""АДВОКАТЪ"" г.Москва";;;74955393017;111024, г. Москва, ул. Авиамоторная, д. 12, офис 504;Мисаров Андрей Владимирович;
"НП ""АСПЕКТ"" ";;;;;;Нижний Новгород  
ЮКАС ;;;;;;Екатеринбург  
Банкротовед ;bankrotoved_admin   http://bankrotoved.ru/;kursk@bankrotoved.ru;74 712 600 220;г. Курск, ул. М. Горького, д.50, офис 38;Овчинников Виталий Валерьевич;Курск  
АБЮК ;;muxan66@mail.ru;89059852284;г.Барнаул,пр-т Строителей,16 оф.14;Михалёв Андрей Юрьевич;Барнаул  
"Юридическое бюро ""Брест"" ";www.ub-brest.ru;info@ub-brest.ru;8945004956;Москва, Стромынка 13А, офис 4;Васильева Марина;Москва
Ваш Юрист Плюс ;;;;;;Санкт-Петербург
"ООО ""Правовой эксперт"" ";;;;;;Москва
" Агентство "" Де - Факто "" ";de-fakto.com;de-fakto2010@yandex.ru;2968357;казань, ул. Авангардная, д. 161;Воронина Марина Владимировна;Казань
ФОРСМАЖОР ;fors-ma.ru;glyar@mail.ru;78 352 384 328;428018, г.Чебоксары, ул. Красина, д.4;;Чебоксары  
Высшая электронная школа ;https://onlinepravo.ru;;;;;Москва
ООО ЮК Правозащитник ;https://yuk-pravozaschitnik.ru;Pravozashitnik-smr@yandex.ru;88463004656;Самара, ул. Гагарина, 90;;Самара  
"""АЛЬФА-КОНСАЛТ"" ";www.uk-aconsalt.ru;office@uk-aconsalt.ru;88 123 372 056;Санкт-Петербург, Московский проспект, д. 91, офис 308;Логинов Павел Владимирович;Санкт-Петербург
Первое юридическое бюро ;www.siblegium.ru;siblegium@bk.ru;83912150291;660093, г. Красноярск, ул. Вавилова, 1, оф. 403;Романов Александр Александрович;Красноярск  
"ООО ""Аврора"" ";;nefea@mail.ru;79609610001;г. Барнаул, пр. Социалистический, д. 28, офис 210 (вход с ул. Короленко);Трегуб Максим Игоревич;Барнаул  
Альтегос ;http://spravedliv-rb.ru;altegos@bk.ru;89093492101;450112, г. Уфа, ул. Первомайская, д.29, оф.7 (цоколь);;Уфа
Волжская Юридическая Компания ;www.yurist-vlz.ru;vyrkomp@gmail.com;89033739361;г. Волжский, ул. Оломоуцкая 22А, оф.1;Фролов Павел Александрович;Волжский  
ДонАудитФинанс ;dmitri-q   auditdon.ru;audon@yandex.ru;88635461007;г.Батайск, ул.Кирова, д.28а, оф.14;Шумейко Дмитрий Евгеньевич;Ростов-на-Дону  
Arbitrage52 ;;;;;;Нижний Новгород  
"Группа Юридических Компаний ""Урал Регион"" ";http://guk-uralregion.ru/;;83432900734;Екатеринбург, ул.Малышева, 36-702;;Екатеринбург  
"Консалтинговая компания ""Стимул"" ";stimulconsult.ru;stimulconsult@mail.ru;89608968384;Хиросимы, 4;Донской Р.И.;Волгоград 
"Юридическое Агентство ""Дигест"" ";www.digest-spb.ru;digest.lex@gmail.com;812  6776973;Санкт-Петербург;Меркулов А.К.;Санкт-Петербург
"""МОНБЛАН"" ";https://monkrim.ru;;+7 978 783 00 53;Симферополь, ул. Александра Невского, 22;Люлина Сабина ;Симферополь  
ООО Юридический центр ЛЕГИСТ ;;;;;;Набережные Челны  
Команда Адвокатов ;komanda-advokatov.ru;;73 412 244 234;Ижевск, ул. Кунгурцева д.21 оф 81;Дмитрий Глухов;Ижевск  
Санкт-Петербургский Центр Правовой Защиты ;urist78.ru;;ул. Тележная д. 1719;;;Санкт-Петербург
Коллегия Адвокатов ;;ur-spb@yandex.ru;79650797907;Санкт - Петербург, В.О., 9-я линия, д.42, оф.13;Магомаев Тамерлан Русланович;Санкт-Петербург
"ООО ""Норма"" ";www.urist-tambov.ru;urist.prov@mail.ru;8 4752 492827, 8905 121 10 16;392003 г.Тамбов, ул Советская, д.191, оф.357;Скворцов Максим Серафимович;Тамбов  
"Налоги&amp;Право ";;;;;;Нефтекамск  
Вертикаль ;2147483647   http://vertikalmsk.com;info@vertikalmsk.com;74 959 691 971;г.Москва, Ленинская слобода 26 стр 28;Шайдуллина Светлана Илдусовна ;Москва
"ООО  ""Право-Дело"" ";;pravo-delo@bk.ru;200190;г. Барнаул, ул.Новгородская, 14;;Барнаул  
"Правовой центр ""ЮрКонсалтинг"" ";sonya_happiness   ps-yurkonsalting.ru;ps-yurkonsalting@yandex.ru;89188721551;г. Пятигорск, ул. Пастухова, 35, оф. 6;;Пятигорск  
Ваш вдвое ;;;"439229; 439230";Гагарина, 50 офис 210;;Магнитогорск  
"ООО ""Юридическое бюро ""Честь имею"" ";;savina.irina@inbox.ru;89114369484;г. Петрозаводск, ул. Кирова, д. 19;Савина Ирина Игоревна;Петрозаводск  
"ООО ""Надежные Юристы"" ";;;;;;Москва
"ООО ""АМУЛЕТ"" ";;;;;;Курск  
Юридическая консультация ЮЦ Альянс ;https://юцальянс.рф;INFO@ЮЦАЛЬЯНС.РФ;74932413858;153000, г. Иваново, ул. Маяковского, д. 25 офис 4;Афанасьева Елена Александровна;Иваново
"ООО ""Ройсс и Партнёры"" ";https://roysslaw.com/;main@roysslaw.com;79854103825;г. Москва, б-р Чистопрудный, д. 17, стр. 1, офис 7П;;Москва
Диалог ;;dialog-26rus@mail.ru;412311, 89624412311;г. Ставрополь, ул. Краснофлотская, 46;Калюкарин Виктор Николаевич;Ставрополь  
Омское Юридическое Бюро ;oyb55.ru;;384927;ул. Чокана Валиханова, д. 6, 2 этаж;Грудин Олег Владимирович;Омск  
Городской Центр самозанятых ;https://samozanyat24.ru/;;;;Дьяконов Дмитрий Сергеевич;Москва
"ООО ""Центр права и экспертиз"" ";ur-cpe.ru;dm-tlt@yandex.ru;88482765352;г.Тольятти;отпущенникова елена николаевна;Тольятти  
/Юрист Чита ;pravo-chita.ru;pravochita@yandex.ru;83022500717;ул. Ленинградская д. 36;Кисель В.;Чита
"Правовой центр ""Вектор"" ";mpcvector.ru;;74 952 121 027;127055, г. Москва, ул. Новослободская, д. 26, стр. 1;;Москва
"""Юридический центр ""Статус-Кво"" ";;info@status-quo-center.ru;78 652 334 400;ул. Ленина, 417;Слюсарев А.С.;Ставрополь  
ЮРВС, ООО ;;;;;;Самара  
"ООО ""Лига-Центр"" ";;liga-centr@mail.ru;83832620207, 89134821615;г.Новосибирск,ул.Воинская,д.63,офис 602;Андамов Олег Рустамович;Новосибирск  
ООО «ЮК «Статус Групп» ;https://status-group.pro/;info@status-group.pro;79 110 001 005;198095, Санкт-Петербург, ул.Губина, д. 16, литера А., пом. 10, раб. место 4.;"	 Гребеньщикова Юлия Николаевна";Санкт-Петербург
"""Управа"" ";https://uprava-ro.ru/;uprava-ro@yandex.ru;79613040660;г. Ростов-на-Дону, ул. Максима Горького, д. 187;Будаков Темур Бакыевич;Ростов-на-Дону  
"ГК""Основа"" ";http://yrcreditrostov.ru/;gkrostov@yandex.ru;88632294348;г.Ростов-на-Дону ул. Серафимовича 52 А офис 306;Кадькало Андрей Сергеевич;Ростов-на-Дону  
ООО ЮК Сорбонна ;;;;;;Воронеж  
Юридическое бюро Кирсанова ;https://kirsanovv.ru;info@kirsanovv.ru;74 942 334 466;г Кострома;Кирсанов Валерий Владимирович;Кострома  
Советник ;;;;;;Санкт-Петербург
"ООО ""Агентство право и бухучет"" ";;;;;;Ставрополь  
Кредо Юриста ;кредо-юриста.рф;dvsolicitor@mail.ru;74 232 804 083;г.Владивосток, ул.Фадеева, 14;Поспелов Родион Романович;Владивосток  
АН Правоград ;;;;;;
"""Фемида "" ";;;;;;Москва
Служба юридической помощи ;;;79787801626;г. Керчь, пер. Кооперативный, 26, оф.13;;Керчь  
Заб.Юрист в Чите ;zabyurist.ru;zabyurist@yandex.ru;88 007 777 830;г. Чита, ул. Чкалова, д. 149, офис 2-33 (4 этаж на лифте), ТЦ «Ликёрка Плаза»;Григорьева Светлана Викторовна;Чита
Юридическое бюро Надежды Швачко ;https://optimist-yurist.ru/;;79182133165;Гулькевичи улица Ленинградская 66;Швачко Надежда Владимировна;
ООО ТПК Пробизнес ;;;;;;Пермь  
ТКР Archive Management ;archive-tkr.ru;archive-tkr@mail.ru;89090029996;Екатеринбург;Оксана Николаевна Яцкевич;Екатеринбург  
"ООО ""Юридическое бюро ""Арбитр"" ";www.37arbitr.ru;37arbitr@mail.ru;84 932 585 868;153038, г. Иваново, проспект Строителей, д.4, оф.414;Дубов Владимир Ефимович;Иваново
Семь Юристов ;;;;;;Оренбург  
Коллегия адвокатов «Кириченко и партнеры» ;isk1.ru;info@isk1.ru;74 953 249 578;109147, г. Москва, Марксистский переулок, дом 6, этаж 2, офис 223;Кириченко Виктор Александрович;Москва
Юридическая Коллегия ;www.urict2483978.ru;2483978@mail.ru;83512483978;гор.Челябинск, ул.Молодогвардейцев. д.33Б.оф.318;Кальнишевский Андрей Геннадьевич;Челябинск  
OOО  Сибирский юридический центр ;;;;;;Новосибирск  
"ООО ""Единый СРО Центр"" ";http://ed-sro.ru/;ed-sro@yandex.ru;78 126 465 015;Россия, г.Санкт-Петербург, 26-я линия В.О., дом 15, корпус 2,офис 13.09;К.В.Елена;Санкт-Петербург
Юридическая консультация Галиной Натальи ;http://jurist163.ru/;;;;Галина Наталья Александровна;Самара  
Юридический офис ;ekat.urof.ru;info@urof.ru;83 432 885 432;г. Екатеринбург, ул. Щорса, 35;Сигунов Роман Алексеевич;Екатеринбург  
Атлант плюс ;;;;;;Южно-Сахалинск  
"ЮА ""ПРАКТИК"" ";;agent.praktik@yandex.ru;+74942 635055, 360558;Гагарина 21;Мартынов Андрей Валентинович;Кострома  
Центр юридических услуг ;https://legal-kazan.ru;;;;Гумеров Рустем Шафикович;Казань
ООО Холдинг Эгида ;;;;;;Челябинск  
СибИнвестСтрой ;;yruslugi82@yandex.ru;79789441234;Кирова, 22;;Керчь  
ЮРЦЕНТР ЗАЩИТА ;;;;;;
"Куприянов &amp; Компания ";;igor800k@inbox.com;"89023839473; 89023864571";г. Волжский, ул. Логинова 23 В, офис № 9;Куприянов Игорь Владимирович;Волгоград 
"Юридический центр ""Академ"" ";https://academ-legal.ru/;;8 812 603 73 87;Санкт-Петербург, Невский пр-т, дом 80, офис 7-1;;Санкт-Петербург
Коллегия адвокатов Персона Права ;;;;;;Москва
ГОТФРИД И ПАРТНЕРЫ ;www.gotfrid.ru;info@gotfrid.ru;8 122 091 108;Загородный пр., дом 12, оф. 4;Готфрид Анастасия;Санкт-Петербург
ООО СТАВЭЛТОРГ ;http://eltorg26.ru;info@eltorg26.ru;89283275874;355000, г. Ставрополь, ул. Ленина, д. 219, этаж 8, офис 190;Якименко Георгий Иванович;Ставрополь  
"ООО ""МЦЗБ"" ";;mczb@list.ru;530033;644010, г. Омск, ул. Маршала Жукова, 74/2, офис 501 (5 этаж);;Омск  
"ООО ""Быстров Компаня"" ";;;89274266944;г. Казань, ул. Шмидта, д. 1, офис 1;Хакимзянов Руслан Салимзянович;Казань
"ГК ""ЛЕВЪ&amp;ЛЕВЪ-АУДИТ"" ";www.lev-group.ru;lev@lev-group.ru;+7 343 3776047 48;г. Екатеринбург, пр. Ленина, 5/4, оф. 130;Дубровина Анна Николаевна;Екатеринбург  
АБ Архипова и Партнёры ;advokat270114   www.ampartners.ru;info@ampartners.ru;8129826505;ул. Кирочная, 31, оф.13 (со двора);Архипова О.В.;Санкт-Петербург
Reliable protection ;reliableprotection.ru;osminsckaya@yandex.ru;79 526 787 380;Таймырская 72, офис 115 (вход в гостиницу БИЦ);Осминская Ольга Станиславовна;Тюмень  
ЮРИДИЧЕСКОЕ АГЕНТСТВО ФОРСАЙТ ;forsait-law.ru;;;;Максина Лилия Евгеньевна;Красноярск  
"Юридический салон ""Antistress"" ";pravda-urist.ru;2018700@mail.ru;8 343 201 87 00;г. Екатеринбург, ул. Чебышева, д. 4, оф. 221;Габдрахманов Руслан Рифатович;Екатеринбург  
"ООО ""ЩИТ"" ";http://stavavarcom.ru/;stavavarcom@mail.ru;88 652 315 176;355008, г.Ставрополь, ул.Гражданская, 8, офис 505;Олейник Игорь Алексеевич;Ставрополь  
"Юридическая фирма ""Спектр"" ";;;;;;Санкт-Петербург
Флагман ;http://flagman54.ru/;flagmannsk@yandex.ru;83 833 750 254;г. Новосибирск, ул. Нижегородская 27/1, офис 404;;Новосибирск  
Линии Защиты ;www.protecline.ru;;;;Фомин Евгений Валерьевич ;Санкт-Петербург
