Название;КПП;Сайт;Категория;ИНН;Почта;Адрес;Телефон;ОГРН
МКФ, ЗАО;245501001;;Кондитерские фабрики;2455007821;minkond@mkf.kristel.ru;Минусинск, ул. Ленина, 92; (39132)5-00-05, 5-14-80, 5-06-00, 5-14-82,(39132)5-14-83 (факс);1022400000000
Сладкий Конди, ООО;745101001;;Кондитерские фабрики;7451086250;o19-72@yandex.ru;Челябинская область, Челябинск, ул. 2-я Потребительская, 30-в; (351)262-12-92 ;1027400000000
Тектум, ООО;665801001;www.tectum.ru ;Хлебокомбинаты;6662120445;tectum@mail.utk.ru;Екатеринбург, ул. Долорес Ибаррури, 6А; (343)278-14-13 ;1036600000000
Култек, ООО;780401001;cooltech.ru ;Машиностроительные заводы;4704100231;info@cooltech.ru;Ленинградская область, Санкт-Петербург, Светлановский пр., 70/1;78126482233;1164700000000
Стандарт-Проект, ООО (Бухгалтерия);745301001;ecostep74.ru ;Заводы строительных материалов;7451216083;ecostep74@mail.ru;Челябинская область, Челябинск, Энтузиастов 16а, 21;+7 (351)776-29-23 ;1057420000000
Пластмет, ООО;710301001;samovarov-grad.ru ;Заводы бытовой техники и электроники;7104035530;shop@samovarov-grad.ru;Тульская область, Тула, Железнодорожная, д. 51/1;7800184;1027100000000
"ОЭЗ ""Белэнергомаш"", ООО";312301001;www.oputenmash.ru ;Энергетическое машиностроение;3123038585;priem@oputenmash.ru;Белгород, ул. Везельская, 95;+7 (4722)23-15-07 ;1023100000000
Темников Александр Альбертович, ИП;;taeznicelitel.ru/ ;Химические заводы;7,42E+11;73-tema@mail.ru;Челябинская область, Усть-Катав, ул. Зеленая, дом 40;7999470;310740000000000
Зеленая Аллея, ООО;524501001;alleyann.ru ;Плодоовощные комбинаты;5245027312;alleynnov@mail.ru;Нижегородская область, п. Новинки, ул. Центральная, д. 18-А;79200769868;1165250000000
Счастливое Детство Кузнецк;;happychild.online ;Мебельные фабрики;;efinke@mail.ru;Свердловская область, Кузнецк, Пензенская, 132;+7 (937)791-77-77 ;
"ООО ""Элитест""";;элитест.рф/ ;Инструментальные заводы;5260412157;;Нижний Новгород, ул. Родионова, 134;-1360;1155260000000
Премьерупак, ООО;668601001;www.upak96.ru ;Заводы полимерных материалов и изделий;6686075061;info@upak96.ru;Свердловская область, Екатеринбург, Лобкова, 2;7343191;1169660000000
Кубаньпродторгсервис, ООО;231001001;www.kubantomat.ru ;Консервные заводы;2310062297;Krasnodar@inbox.ru;Краснодарский край, Краснодар, ул. Захарова, 1;+8 (861)238-47-96 ;1022300000000
"ПФ ""Мустанг-2"", ООО";695001001;www.Mustang2.ru ;Швейные фабрики;6905048313;mustang-2@yandex.ru;Тверская обл., г. Тверь, ул. 15 лет Октября, д. 39;-5939;1026900000000
ЭКО Тойс, ООО;253401001;kubidubi.ru ;Фабрики игрушек;2534007920;info@kubidubi.ru;Приморский край, с. Чугуевка, ул. Школьная, д. 25А;+7 (800)2500707 ;1162500000000
ООО НПО Альтернатива;6455055692;alternativa-sar.ru/ ;НИИ, НПО;6455055692;petritest@mail.ru;410071 г. Саратов ул. Шелковичная д.186 офис 511;79 033 288 043;1126460000000
СЛ-Лазер, ООО;772701001;sl-laser.ru/ ;Заводы металлоконструкций;7727447267;zakaz@sl-laser.ru;Московская область, г. Люберцы, ул. Транспортная, 6В;+7 (903)611-82-64 ;1207700000000
Аланна, ООО;310201001;alamix.ru/ ;Лакокрасочные заводы;3123063101;alamix31@yandex.ru;Белгородская область, с. Стрелецкое, ул. Степная, 45;7472217;1023100000000
Максишина, ООО;471601001;www.mtyre.ru ;Литейные заводы;4716035379;info@mtyre.ru;Санкт-Петербург, п. Шушары, ул. Ленина, д. 6А;+7 (812)309-26-65 ;1114720000000
Теплоцентр, ООО;220401001;teplocentr.net ;Котельные заводы;2204032004;teplo-service@bk.ru;Алтайский край, Бийск, ул. Нефтяная, 52/1;7385378;1072200000000
Газпромнефть-ННГ, АО;890501001;;Нефтегазовые компании;8905000428;NNG@yamal.gazprom-neft.ru;Ямало-Ненецкий АО, Ноябрьск, ул. Ленина, д. 59/87;+7 (3496)37 07 71 ;1028900000000
Узно, ООО;27301001;orenburg.uzno02.ru/ ;Заводы металлоконструкций;277109897;uzno02@yandex.ru;Оренбургская обл., г. Оренбург, ул. Елькинская, д. 12А;+7 (347)216-01-31 ;1100280000000
Авдеев Алексей Александрович, ИП;;staixb2b.ru/ ;Трикотажные фабрики;6,23E+11;staix.biznes@mail.ru;Рязань,ул. Магистральная, д. 19;+7 (920)638-07-10 ;309623000000000
"НПФ ""Вермикулит-Сервис"", ООО";550501001;www.vermit.ru ;Цементные заводы;5504052529;tdvermit@bk.ru;Омская обл., г. Омск, п. Дальний, д. 1/28;+7 (3812)201-601 ;1025500000000
Фатыхова Сания Сагидулловна, ИП;;www.metall18.ru ;Арматурные заводы;1,83E+11;ramon009@yandex.ru;Удмуртская Республика, Ижевск, ул. Областная, д. 6; (3412)74-15-04 ;318183000000000
ИП Безруков Сергей Сергеевич ;;;Производители снеков;7,73E+11;ilik1992@mail.ru;Московская область, Москва;8 (985)195-39-85 ;321775000000000
Керамика Золотое, ООО;644201001;www.zolotoe.net ;Керамические заводы;6442012290;keramika-zolotoe@yandex.ru;Саратовская область, с. Золотое, ул. Первомайская, 110;78006000755;1136430000000
"Торговый ДОМ ""Велком"", ООО";501701001;www.velkomfood.ru ;Производители бакалеи;5017042463;welcome@velkomfood.ru;Московская область, с. Павловская Слобода, ул. Ленина, 75;7495937;1025000000000
НТЦ Измеритель, ООО;772601001;www.shtrih-m.ru ;Мебельные фабрики;7726291497;info@shtrih-m.ru;Московская область, Люберцы, ул. Колхозная, 19А;+7 (495)787-60-90 ;1037740000000
РКЗ, АО;668401001;www.revkz.ru ;Кирпичные заводы;6627002142;info@revkz.ru;Свердловская область, Ревда, ул. Кирзавод, 4;73439723501;1026600000000
Борихинский Пивзавод, ООО;223101001;boriha.ru/ ;Пивоваренные заводы;2231004359;zavod@boriha.ru;Алтайский край, Алейский р-н, п. Бориха, ул. Заводская, 1;+7 (383)214-45-17 ;1022200000000
Новые Технологии, ООО;231001001;;Кондитерские фабрики;2310140587;karapetyantc_gm@nt-fabrika.ru;Краснодарский край, Краснодар, ул. Красная, д. 27;8 (861)267-04-75 ;1092310000000
КЗМК, АО;525101001;slk.ru/kzmk/? ;Заводы металлоконструкций;5251000950;info@slk.ru;Кулебаки, ул. Некрасова, 12;+7 (83176)7-00-91 ;1025200000000
"ООО ""НАУЧНО-ПРОИЗВОДСТВЕННЫЙ ЦЕНТР ""БЛАГЗАВОД""";;gulkay.ru ;Парфюмерно-косметические заводы;277950210;;453430, г. Благовещенск, ул. Коммунистическая, д. 12, помещение 19А;;1200200000000
"ПТК ""АНКО"", ООО";711701001;;Кондитерские фабрики;7107111860;sale@ankoru.ru;Тульская область, Узловая, ул. Свердлова, д. 12;8-950-920-7661 ;1167150000000
Коркищенко Виктория Вячеславовна, ИП;;mebrostov.ru/ ;Мебельные фабрики;6,17E+11;mebrostovmebel61@yandex.ru;Ростов-на-Дону, ул. Мечникова, 126 а, оф. 7;79282791689;319620000000000
Энергодар, ООО;668501001;energodarekb.ru/ ;Электромеханические заводы;6685039617;info@energodarekb.ru;Екатеринбург, ул. Флотская, 41;+7 (343)213-18-84 ;1136690000000
Уральский Завод Строительных Материалов, ООО;667801001;;Заводы строительных материалов;6678047159;info@uralzsm.ru;п. Ленинский (Свердловская область)(Свердловская область);8 (800)200-06-10 ;1146680000000
"Бюз ""АРТ-Карат"", ООО";312301001;svetlov.com ;Ювелирные заводы;3123362920;vlad_7657@mail.ru;Белгородская обл., г. Белгород, пр. Богдана Хмельницкого, д. 111В;-1098;1153120000000
Нимет, ООО;301801001;;Кондитерские фабрики;3018009955;ubeydasik@mail.ru;Астраханская область, Астрахань, ул. 5-я Керченская, д. 11;8 (8512)56-30-66, 56-32-68 ;1023000000000
Лзпо, ООО;482601001;www.znpo.lipetsk.ru ;Станкостроительные заводы;4826106960;znpo@lipetsk.ru;Липецкая область, Липецк, ул. 3 Сентября;+7 (800)200-00-95 ;1154830000000
Можайский МИЗ, АО;502801001;www.mmiz.ru ;Инструментальные заводы;5028003018;mmiz@mmiz.ru;Московская область, Можайский р-н, д. Марфин Брод;+7 (49638)47-050 ;1025000000000
Пинегин Андрей Сергеевич, ИП;;;Целлюлозно-бумажные комбинаты;2,30E+11;zakaz@alfrescoshop.ru;Краснодарский край, Краснодар, Озерная, 41;79182608068;309237000000000
Калининградский Деликатес, ООО;390601001;www.kadelik.ru ;Мясоперерабатывающие заводы;3904032883;info@kadelik.ru;Калининград, ул. Ялтинская, 66;+7 (4012)357-660 ;1023900000000
Эсва, АО;390701001;ao-esva.com/ ;Инструментальные заводы;3907008600;mailbox@ao-esva.com;Калининградская область, г. Калининград, ул. Дзержинского, 136 А;+7 (4012)632332 ;1023900000000
Орский Вагонный Завод, ООО;561401001;;Вагоностроительные заводы;5614023224;info@ovz.ru;Орск, ул. Заводская, 6; (3537)26-91-30, 26-95-60, 26-90-15,(3537)26-96-04 (факс);1055610000000
Почеркъ, ООО;434501001;www.pocherkleather.ru ;Производители галантерейных изделий;4348003569;info@pocherkleather.ru;Кировская область, Киров, ул. Горького, 5;7833186;1024300000000
Модные Дети, ООО;760201001;opt.brinco.ru ;Швейные фабрики;7602108050;office@brinco.ru;Ярославская область, Ярославль, пр. Ленинградский, д. 33, лит. А;+7 (800)505-85-29 ;1147600000000
ООО «ТАГАНРОГСКИЙ КАБЕЛЬНЫЙ ЗАВОД ЭНЕРГО»;;tkzenergo.ru/ ;Кабельные заводы;6154154160;tkzenergosales@gmail.com;347913, г.Таганрог, ул.Большая Бульварная, 13-6, а/я 13;79081808131;1196200000000
Фэшн, ООО;773301001;;Швейные фабрики;7733335018;Visson-fabrik@mail.ru;Краснодарский край, Краснодар, Северная, 200;89180255552;1197750000000
Артэ Бианка, ООО;222201001;arte-bianca.ru ;Кондитерские фабрики;2222030930;aurum.arte@mail.ru;Алтайский край, Барнаул, ул. Попова, 173;7960806;1022200000000
ВШЗ, ЗАО;366301001;;Шинные заводы;3663088326;;Воронеж, ул. Ростовская, 41; (4732)44-52-54, 44-51-42, 44-56-52,(4732)44-54-74 (факс);1113670000000
Акрихин, АО;660850001;www.akrikhin.ru/ ;Фармацевтические фабрики;5031013320;info@akrikhin.ru;Московская область, г. Старая Купавна, ул. Кирова, дом 29;+7 (495)702-95-03 ;1025000000000
"ГК ""Монолит"", ООО";780601001;betondaily.ru ;Цементные заводы;7816560761;mg@betondaily.ru;Ленинградская обл., г. Санкт-Петербург, Коломяжский пр-т, д. 27А, офис 36;+7 (812)448-53-01 ;1137850000000
Аквалайн, АО;90101001;www.aqualine.ru ;Производители безалкогольных напитков;901039797;aqualine@aqualine.ru;Карачаево-Черкесская Республика, Черкесск, ул. Первая Подгорная, д. 45;7800118;1020900000000
Сурков Сергей Борисович, ИП;;viktoria-ul.ru ;Трикотажные фабрики;7,33E+11;victory-s75@mail.ru;Ульяновская область, Ульяновск, Московское шоссе, 3;7842128;309733000000000
Эксклюзяшка Кострома;;эксклюзяшка.рф ;Мебельные фабрики;;LUBOYDIVAN@INTERNET.RU;Костромская область, Кострома, Шагова, 61а;+7 (4942)301-166 ;
Трибуна, АО;780201001;www.tribuna.com.ru ;Швейные фабрики;7804006566;info@tribuna.com.ru;Ленинградская область, Санкт-Петербург, пр. Художников, д. 22;-1601;1027800000000
Экотар, ООО;55401001;05ecotar.ru/ ;Целлюлозно-бумажные комбинаты;554005758;office@05ecotar.ru;Каспийск(Республика Дагестан);8 (8722)94-09-95 ;1190570000000
ПК Фортуна, ООО;441401001;fortuna-snack.ru ;Хлебокомбинаты;4414000370;info@fortuna-snack.ru;Костромская область, д. Лежнево;+7 (4942)494-724 ;1114440000000
Швейная Фирма Тандем, ООО;521701001;aokshf.ru/ ;Швейные фабрики;5217003711;po-kshf@mail.ru;Княгинино, ул. Свободы, 28;+7 (83166)4-13-39 ;1035200000000
Мечел-Кокс, ООО;746001001;;Коксохимические заводы;7450043423;mechel-coke@mechel.ru;Челябинская область, Челябинск, ул. 2-я Павелецкая, д. 14;+7 (351)725-49-02 ;1067450000000
Экран, ООО;504001001;www.screen-co.ru/ ;Машиностроительные заводы;5013002131;info@screen-co.ru;Московская область, рп Ильинский, ул. Театральная, д. 5;+7 (495)790-7178 ;1025000000000
Кварцевые Пески, ООО;522801001;nnpeski.ru/ru/o_kompanii/80/ ;Обогатительные комбинаты (ГОК);5244023869;a.borodko@inesco.ru;Нижегородская область, Семеновский р-н, д. Березовый Овраг, д. 54;+7 (920)072-04-99 ;1115240000000
Глазовская Мебельная Фабрика, ООО;183701001;www.glazovmebel.ru ;Мебельные фабрики;1837016819;office@glazovmebel.ru;Удмуртская Республика, Глазов, ул. Сибирская, 42;+7 (34141)5-57-36 ;1171830000000
Моспромстрой, АО;774550001;korsaj.ru ;Текстильные фабрики;7710034310;okantovka@mail.ru;Московская область, Москва, ул. Выборгская, д. 20 копр. 2;+7 (495)796-27-30 ;1027740000000
Экситон, АО;503501001;fabexiton.ru ;Приборостроительные заводы;5035022614;info@okbexiton.ru;Павловский Посад, ул. Интернациональная, 34а;+7 (49643)7-02-64 ;1025000000000
Поликор, АО;370301001;www.polikor.net/ ;Заводы строительных материалов;3703000190;oaopolikor@polikor.su;Ивановская обл., г. Кинешма, ул. Вичугская, д. 102;+7 (49331)91-8-27 ;1023700000000
Фабрика верхней одежды Белла Москва;;;Швейные фабрики;;info@paltobella.ru;Москва, ул. Рябиновая, 26с1, «West plaza», офис 501-1;8 (800)201 06 73 ;
Риаз, ООО;623401001;www.riaz.su ;Абразивные заводы;6234174123;welcome@riaz.su;Рязанская область, Рязань, ул. Осипенко, 76;78003334086;1176230000000
Красногвардеец, ПАО;781301001;www.gvardman.ru ;Медицинские заводы;7813047223;sales@gvardman.ru;Санкт-Петербург, ул. Инструментальная, 3; (812)244-7260 ;1027810000000
"ООО ""ПРОМДЕТАЛЬ";184001001;promdetal18.ru ;Металлообрабатывающие заводы;1840096050;info@promdetal18.ru;Ижевск(Удмуртская Республика);8 (3412) 23 - 47- 05,(3412) 23 - 46 - 87 ;1201800000000
СОМЗ, ООО;312801001;;Механические заводы;3128093741;priem@slavjanka.ru;Белгородская область, Старый Оскол, ул. Ленина, 22; (4725)37-86-00,(4725)37-86-13, 37-86-12, 37-86-11 (коммерческий отдел);1133130000000
Люблинский ЛМЗ, АО;772301001;;Механические заводы;7723791660;info@llmz.ru;Москва, ул. Люблинская, 72; (495)351-75-33, 351-68-78, 351-89-79,(495)351-66-64 (факс);1117750000000
КБ Пласт, ООО;253201001;kb-plast.ru ;Заводы полимерных материалов и изделий;2511099593;info@kb-plast.ru;Приморский край, Уссурийск, ул. Сергея Ушакова, д. 24А;+7 (423)258-57-55 ;1162510000000
Ионос, ООО;610101001;ionos.ru ;Светотехнические заводы;6168719068;office@ionos.ru;Ростовская область, Ростов-на-Дону, ул. Малиновского, 3;7800609;1146200000000
Do4a Lab Санкт-Петербург;;do4alab.ru ;Производители бакалеи;;info@marketdo4a.com;Ленинградская обл., г. Санкт-Петербург, ул. Репищева, д. 20;7929437;
Сплав Профиль, ООО;645301001;www.splav-profil.ru ;Заводы строительных материалов;6452102312;office@splav-profil.ru;Саратовская область, Саратов, ул. Танкистов, 55;7845158;1136450000000
"РСК ""Этмс"", ООО";744901001;www.etms.su ;Машиностроительные заводы;7451342659;saf.dmitry@bk.ru;Челябинская обл., г. Сатка, ул. Больничная, д. 10;-1846;1127450000000
"КФ ""Белогорье"", ОАО";312301001;www.belogorye-pk.ru ;Кондитерские фабрики;3123001994;opp@belogorye.com;Белгородская область, Белгород, ул. Промышленная, 19;+7 (4722)34-03-34 ;1023100000000
Соэмз, АО;504401001;soemz.com ;Заводы полимерных материалов и изделий;5044000261;info@soemz.com;Московская область, Солнечногорск, ул. Бутырский тупик, д. 1;+7 (495)799-67-07 ;1035010000000
Алиса-Мебель, ООО;780201001;www.avs.spb.ru ;Мебельные фабрики;7802287270;as@avs.spb.ru;Ленинградская область, Ломоносовский р-н, п. Лаголово, ул. Детская, 13;+7 (952)374-65-36 ;1157850000000
Эдвуд, ООО;121501001;www.shponprofi.ru ;Столярные мастерские;1215233166;info@fabrika-edwood.ru;Республика Марий Эл, Йошкар-Ола, Элеваторный проезд, 11А;+7 (987)720-04-02 ;1201200000000
ЗСМ, ООО;231801001;;Заводы строительных материалов;2318030057;zsm2007@mail.ru;Сочи, ул. Краснодонская, 77; (862)266-95-22,(862)266-95-38 (факс);1042310000000
НЦВ Миль и Камов, АО;502701001;;Авиационные заводы;7718016666;mvz@mi-helicopter.ru;Московская область, Люберецкий р-н, рп. Томилино, ул. Гаршина, 26/1; (495)669 23 90, 647 32 10 ;1027740000000
Телеком Групп, ООО;312001001;ipcomgroup.ru/ ;Электромеханические заводы;3123215690;sales@ipcomgroup.ru;Белгородская область, Шебекинский р-н, с. Новая Таволжанка;+7 (472)220-55-54 ;1103120000000
WoodMebelLux Красногорск;;;Мебельные фабрики;;mckolpakova@yandex.ru;Московская область, Красногорск;79262304405;
Клинских Александр Викторович, ИП;;sentido-spb.ru ;Обувные фабрики;3,66E+11;info@sentido-spb.ru;Ленинградская область, Санкт-Петербург, Гражданский пр., д. 111, офис 213;+7 (812)935-27-59 ;310367000000000
Край Каравай, АО;632001001;www.thleb.ru ;Хлебокомбинаты;6320004615;office@kraikaravai.ru;Тольятти, ул. Голосова, 16;+7 (8482)69-11-22 ;1026300000000
ТКЗ, ООО;745701001;;Керамические заводы;7405008850;propanttkz@gmail.com;Челябинская область, Трехгорный, ул. Заречная,1А, а/я 454; (35191)4-27-75 ;1047400000000
Макпром, ООО;644001001;www.makaroni.ru/about/makprominfo/ ;Макаронные заводы;7724544008;makprom@makaroni.ru;г. Балашов, ул. Пригородная, 10;+7 (84545)255-09 ;1057750000000
ВЭМЗ, ЗАО;332701001;;Механические заводы;3327100337;odao-wemz@yandex.ru;Владимир, ул. Ноябрьская, 127; (4922)26-18-46,(4922)26-05-34 (факс);1023300000000
Нагревмаркет, ООО;673201001;nagrevmarket.ru ;Заводы металлоконструкций;6732154137;nagrevmarket@gmail.com;Смоленская область, Смоленск, ул. Матросова, д. 12а, пом. 13;+7 (910)725-29-45 ;1176730000000
Солстек, ООО;504401001;solstek.ru/ ;Стекольные заводы;5044093227;ramazanova@solstek.ru;Московская область, Солнечногорск, ул. Стеклозаводская, 1;+7 (496)266-60-70 ;1155040000000
Красный Пролетарий, АО;26801001;www.aokp.ru ;Станкостроительные заводы;268008042;info@aokp.ru;Москва, ул. Бутлерова, 17;+7 (495)227-95-59 ;1020200000000
Якутцемент ПО, АО;143101001;www.yakutcement.ru ;Цементные заводы;1431008422;info@yakutcement.ru;Республика Саха (Якутия), Хангаласский улус, п. Мохсоголлох, ул. Заводская, 32;+7 (41144)48-0-21 ;1031400000000
Холод Славмо, ЗАО;100101001;holodslavmo.ru ;Кондитерские фабрики;1001098784;mkptz@holodslavmo.ru;Республика Карелия, Петрозаводск, ул. Кирова, 35;+7 (8142)763206 ;1021000000000
"ООО «ЛИТЭКС""";;litexal.ru ;Заводы цветных металлов;6686131439;sales@litexal.rukramar@litexal.ru;Россия, Свердловская обл., г. Березовский, ул. Ленина, 2Д;-798;1216600000000
ICM Иваново;;icm37.com/ ;Экскаваторные заводы;;info@icm37.com;153029, Россия, Иваново, 3-я Петрозаводская улица, дом 12;+7 (4932)95-21-91 ;
АОМЗ, ОАО;230201001;www.aomz.ru ;Машиностроительные заводы;2302015180;omts@aomz.ru;Краснодарский край, Армавир, ул. Кирова, 93;;1022300000000
Робототехника, ООО;504301001;robteh.ru ;Робототехника;5043068588;info@robteh.ru;Серпухов, ул. 1-я Московская, дом 44, стр. 20;74991137033;1195080000000
ООО «ЭНЕРГО ГАРАНТ;741301001;airtech74.ru ;Станкостроительные заводы;7413025546;woodvlad@inbox.ru;Челябинская область, г. Кыштым, ул. Гузынина, 2;+7 (922) 748-11-60 ;1187460000000
Кропоткинский Молочный Комбинат, ОАО;237201001;www.kropmilk.ru/ ;Молочные заводы;2313003941;info@1kgroup.ru;Краснодарский край, Кропоткин, пер. Восточный, 1;+7 (86137)2-95-74 ;1022300000000
Макарян Андроник Сержикович, ИП;;mexannushka.ru ;Меховые фабрики;2,63E+11;mex-annushka@ya.ru;Ставропольский край, Пятигорск, ул. Февральская, 323;+8 (928)358-53-98 ;314265000000000
АРТ, ООО;910201001;b2b.art-skin.ru ;Заводы полимерных материалов и изделий;9102271334;info@art-skin.ru;Республика Крым, г. Симферополь, ул. Грибоедова, д. 5, пом. 1;8-918-675-69-72 ;1219100000000
Наис, ООО;616201001;nais.ru ;Приборостроительные заводы;6162026356;bobrova.v@nais.ruSale.Nais@yandex.ru;Ростовская область, Ростов-на-Дону, Шоссейная, 47,в;8 (804)555-01-28 ;1026100000000
Приморское Сетевязальное Производство Большой Камень;250301001;seti1.ru/ ;Трикотажные фабрики;2503033013;primseti@gmail.com;Россия, Приморский край, г. Большой Камень, ул. Коммунальная 3;+7 914 720-52-37, +7 924 327-24-89 ;1162500000000
ООО «Гефест»;780601001;spb-gefest.ru/ ;Металлообрабатывающие заводы;7804605270;info@spb-gefest.ru;Кудрово(Санкт-Петербург и Ленинградская область);+7 (812) 317-70-72 ;1177850000000
Балтийский Станкостроительный Завод, АО;780401001;www.bszspb.com ;Станкостроительные заводы;7802157111;s-bsz@mail.ru;Санкт-Петербург, ул. Магнитогорская, 11;7812610;1027800000000
Сабо Спорт, ООО;434501001;www.sabosports.ru ;Заводы металлоконструкций;4345086648;info@sabosports.ru;Кировская обл., г. Киров, ул. Павла Корчагина, д. 86, корпус 17; (8332)402570 ;1044320000000
Рзэо, ООО;644301001;;Ремонтные заводы;6452113755;rzeo@inbox.ru;Саратовская область, Маркс, ул. Свободы, 235; (84567)5-00-84, 5-05-34,(84567)5-00-70 (коммерческий отдел);1146450000000
"Амз ""Вентпром"", АО";667701001;www.ventprom.com/ ;Машиностроительные заводы;6602010624;ventprom@ventprom.com;Артемовский, ул. Садовая, 12;+7 (34363)58-100 ;1069600000000
Владивостокский ювелирный завод Роскошь (ВЮЗ Роскошь);;www.roskosh-jewel.ru ;Ювелирные заводы;;roskosh.vl@mail.ru;Приморский край, Владивосток, ул. Русская, д. 19А;7800184;
Русскарт, ООО;502901001;www.russkart.com ;Производители снеков;7731408800;info@russkart.com;Московская обл., г. Мытищи, Осташковское шоссе, вл. 18, стр. 1;74956480490;1117750000000
ЛТЗ, АО;402401001;sinaratm.ru/about/production/lyudinovskiy-locomotive-plant/ ;Судостроительные заводы;4024000014;CTM@sinara-group.com;Людиново, ул. К. Либкнехта, 1;74952587164;1024000000000
ООО «ШахтНИИ» ;;shakhtniui.ru ;Машиностроительные заводы;6155920682;oooshahtnii@gmail.com;346500, г. Шахты, Ростовская область, ул. Советская, 279, корпус К, офис 14. ;8 (961) 303-79-87 ;1026100000000
Ижлитмашсервис, ООО;183201001;ilms18.ru ;Литейные заводы;1832122122;ilms18@mail.ru;Удмуртская Республика, Ижевск, ул. Баранова, 33Б;+7 (3412)711-645 ;1141830000000
ТД Уралвал, ООО;741501001;uralval.ru ;Машиностроительные заводы;7415089087;td.uralval@mail.ru;Челябинская обл., г. Миасс, ул. Амурская, д. 28А;+7 (3513)59-04-74 ;1157420000000
КМЗ, ООО;682401001;;Механические заводы;6824005752;oookmz68@gmail.com;Кирсанов, ул. Пушкинская, 47; (47537)3-70-38, 3-71-65, 3-60-69, 3-70-38,(475-37)3-70-38 (факс);1176820000000
Завод № 423, ООО;711201001;www.zavod423.ru ;Инструментальные заводы;7112011490;ooozavod423@owen.ru;Тульская область, Богородицк, Заводской проезд, 2Б;+7 (48761)2-27-59 ;1027100000000
Петропласт, ООО;780601001;www.chashkipetry.ru ;Заводы полимерных материалов и изделий;7813098563;sale@chashkipetry.ru;Санкт-Петербург, ул. Маршала Новикова, 38;+7 (812)9368916 ;1027810000000
Уаз-Техинструмент, ООО;732701001;;Инструментальные заводы;7327096737;ma.zhabitenko@sollers-auto.com;432034, г. Ульяновск, Московское шоссе, д. 92. стр. 40;+7 (8422)40-95-34 ;1207300000000
РСМ, ООО;645301001;rsm-mash.ru/ ;Машиностроительные заводы;6450107587;zakaz@rsm-mash.ru;410001, г. Саратов, ул. Огородная, дом 3а;8 (8452)68-18-22, 8-800-600-18-22 ;1196450000000
Сиз, АО;667101001;www.siz66.ru ;Инструментальные заводы;6661000071;siz@siz66.ru;Свердловская область, Екатеринбург, ул. Фрунзе, 35А;+7 (343)3858710 ;1026610000000
Морион, ПАО;590501001;www.morion.ru ;Заводы радиоаппаратуры;5905000038;info@morion.ru;Пермь, шоссе Космонавтов, 111; (342)214-47-88 ;1025900000000
"ООО ""ПЕТРАСВЕТ""";;petrasvet-shop.ru ;Светотехнические заводы;7805342169;office@petrasvet.com;198206, Санкт-Петербург, Петергофское шоссе 73 (Завод ЛЭМЗ);-1192;1157850000000
"Шарм Дизайн, ООО (""ШАРМ ДИЗАЙН"")";771501001;www.sharm-design.ru ;Мебельные фабрики;7715316100;info@sharm-design.ru;Московская область, Москва, ул. Складочная, дом 15, стр. 2;+7 (495)995-58-87 ;1027700000000
"ФК ""Эндрио ДЕ Марко"", ООО";366501001;;Швейные фабрики;3665801944;demarque@mail.ru;Воронежская область, Воронеж, ул. Пограничная, 2;8 (473)239-04-10 ;1183670000000
Промполипласт, ООО;760401001;prompoliplast.ru ;Заводы полимерных материалов и изделий;7604153612;marketing@prontobag.ru;Ярославская область, Ярославль, Суздальское шоссе, 9;+7 (4852)67-99-31 ;1097600000000
МГ-Торг, ООО;760201001;www.mega-mebel76.ru ;Мебельные фабрики;7602134614;sales@mg-76.ru;Ярославская область, Ярославль, ул. Полушкина роща, 16;+7 (4852)58-53-56 ;1167630000000
Калужский Завод ОЦМ, ООО;402701001;www.bimetall.ru ;Заводы черных металлов;4027130854;info@bimetall.ru;Калужская область, Калуга, ул. 1-й Академический проезд, 11;+7 (4842)72-85-55 ;1164030000000
ИП Ксенофонтова Наталья Николаевна;;beatris-odegda.ru/ ;Швейные фабрики;4,35E+11;beatris.opt.msk@mail.ru;Москва, ул. Малая Семеновская 9с3;+7 (951) 355-70-45 ;310435000000000
Фабрика Мякиши Боровичи;;www.myakishi.ru ;Фабрики игрушек;;shop@myakishi.ru;Новгородская область, Боровичи, ул. Заводская, 4, 8;7800086;
Альфа-Инжиниринг, ООО;668301001;unicover.ru/ ;Заводы строительных материалов;6683016438;info@unicover.ru;Екатеринбург, ул. Розы Люксембург, 22, оф. 517;88002010740;1196660000000
Henkel пгт им. Воровского;;www.henkel.ru/company ;Химические заводы;;msk.henkel-technologies@henkel.com;пгт им. Воровского(Москва и область);+7 (495)745-5589 ;
ТПЗ, ФКП;682501001;www.tambovpowder.ru ;Химические заводы;6825000757;info@fkptpz.ru;Котовск, пр-кт Труда, 23;+7 (47541)4-36-33 ;1026800000000
Максимус, ООО;771301001;mxms.ru ;Целлюлозно-бумажные комбинаты;7733503150;sazonoff@mxms.ru;Московская обл., г. Москва, ул. Прянишникова, д. 19А, стр. 4;+7 (495)7818160 ;1037740000000
М.В.А. - Принт, ООО;615501001;;Стекольные заводы;6155050319;mvamosaic@mail.ru;Шахты, ул. Маяковского, 24;9185539640;1086160000000
"Московское по ""Металлпластизделие"", ООО";771401001;upp6.ru ;Заводы металлоконструкций;7733088915;ht.sekretar@mpi-mos.ru;Московская область, Москва, 2-я Хуторская, д. 31;+7 (495)685-16-41 ;1037740000000
