Название;Сайт;Почта;Номер телефона;Адрес;ОГРН;ИНН
Юридический Центр «Альфа»;https://alfa-ivanovo.ru/;alfa262024@yandex.ru;4932262024;г. Иваново, ул. Степанова, д. 5, оф. 301;;
"Юридическая компания ""Виктория""";https://victoria30.ru/;yr.victoria@mail.ru;79881735454;;;
Юридический кабинет братьев Болтуновых;https://bb-pravo.ru/;;74995204923;Москва Покровский бульвар д. 4/17, с. 1;1,16503E+12;
Воронежский Юридический Центр «ЗаконЪ»;https://centr-zakon.ru/;centr-zakon-vrn@mail.ru;79036529577;г. Воронеж, ул. Никитинская, д. 8А, оф. 618;;
"ЮК ""4 партнёра""";https://fourpartners.ru/;info@fourpartners.ru;79084464460;г. Владивосток, ул. Запорожская, д. 77, оф.824/3;;
Банкрот сервис;https://bankrotserv.ru/;;78002224484;;;
Юридическая компания «Де-Юре»;https://www.law66.ru/;;73433440008;Екатеринбург улица Малышева дом 51, офис 15/03;1,18666E+12;
ЮК «Правовой Совет»;https://dombankrota.ru/;;74993993506;Москва ул. Красная Пресня д. 24;5,15775E+12;
Финон;https://finon127.ru/;info@finon127.ru;89011321707;г. Москва, ул. Земляной Вал, д. 7, оф. 219;1,2177E+12;9709071544
Бажена Консалт;https://www.bazhena.com/;;79348881042;Москва ул. Садовая-Сухаревская д. 2/34, стр. 1;1,11775E+12;
Адвокат Антон Лянгерт;https://advokat-moskva.info/;lyangert@gmail.com;79248888585;г. Москва, Новослободская, д. 21;;
Место Права;https://mestoprava.ru/;barnaul@mestoprava.ru;73852232718;г. Барнаул, Малахова, д. 79 А, к. 1;1,19223E+12;2223627455
Консулъ;https://konsul-yurist.ru/;;78313266909;Нижний Новгород ул. Короленко д. 27, оф. 210;1,16525E+12;
Лобис Лекс;https://vk.com/lobislex;;78314137918;Нижний Новгород ул. Рождественская д. 30, оф. 302;1,19528E+12;
Юридическая компания «Рестарт»;https://юк-рестарт.рф/;;74951184118;Москва, Каланчёвская ул., д. 16 с1, oф. 1.12;;
ЮА «Право-Инвест»;http://bankrotstvo.pravo-invest.ru/;;73433110384;Екатеринбург ул. Куйбышева дом 48 корпус № 1;1,18666E+12;
"Компания ООО ""Решение""";http://reshenievrn.ru/;advocat@reshenievrn.ru;79204454747;г. Воронеж, ул. Никитинская, д. 42, оф. 205;1,16367E+12;
ЮА «Голынец и Компания»;https://golinec-i-co.ru/;golinec-i-co@mail.ru;88002008954;;1,0502E+12;265027047
Финансово-Юридическое Агентство Конструктив;https://konstruktiv.agency/;;78007074240;Екатеринбург ул. Мичурина д. 239, оф. 14;1,18666E+12;
Лаборатория Антикризисных Исследований;https://www.labai.ru/;;74956267071;Москва Большой Головин переулок д.3, стр.2;1,03501E+12;
Юридическая компания «Эгида»;https://egidalaw.com/;EGIDA.KOMPANY@yandex.ru;89285581928;г. Махачкала ул. Буганова, д. 17В;;
Первые по банкротству РФ;https://первые-по-банкротству.рф/;bankrot@1pravo.ru;79250029792;г. Москва, ул. Рождественка, д.5/7, стр.1, оф. 3;1,11775E+12;7724788149
Урал-Право;https://ural-pravo.ru/;;73432883625;Екатеринбург ул. Хохрякова д. 104, оф. 901;1,04661E+12;
Адвокат  Черных Виталий Эдуардович;;;73432073534;Екатеринбург ул. Малышева д. 3, офис 1;3,15666E+14;
Арбитражный Управляющий Фастов А. В.;https://bankrot-34.ru/;;89876551087;г. Волгоград, ул.Комсомольская, д. 6, оф. 701;3,10346E+14;3,44601E+11
Ильченко & Мишелова;https://uristpomog.ru/;info@uristpomog.ru;74951423326;г. Зеленоград, ул. Каменка, к. 1812;;
МэйДэй;https://mayday.legal/;;74951282831;Москва ул. Сущевская дом 21, подъезд 2, этаж3, офис 12а;1,07695E+12;
Защита и Закон;https://xn---61-jddeeuezhygz4h.xn--p1ai/;;78633032155;Ростов-на-Дону пр-т М. Нагибина д. 11, оф. 606;1,1862E+12;
Ютрэйд;https://utradegroup.ru/;utrade09@mail.ru;88553438383;;;
Свой юрист;https://svoy-urist.ru/;;79112285915;Санкт-Петербург проспект Народного ополчения дом 15 квартира 43;3,16785E+14;
Ваша Безопасность;https://jurist-vb.ru/;;79200507776;Нижний Новгород ул. 50-летия Победы д. 18;1,05525E+12;
Экспертно-правовой центр;https://vk.com/club74531581;;79196862020;;;
"Юридическая компания ""Спектр""";http://spectrecompany.ru/;;83852692165;г. Барнаул, ул. Папанинцев, д. 111, оф. 8;;
Союз банкротных юристов;https://сбю.рф/;;88007008879;;;
Пока Долги;https://pokadolgi.ru/;;88003335670;;;
Юридическая компания «НЕ/БАНКРОТ»;https://www.nebankrot-krd.ru/;;;Краснодар ул. Красная д. 111, 4 этаж;;
Юрист Хизриева З. Г.;https://hizrieva.ru/;;79656999459;г. Волгоград, пр-т. им. Ленина, д. 94, оф. 120;;
Законное право;https://законноеправо.рф/;;79803500789;Липецк пр. Победы д. 29, оф. 530 БЦ «Виктория»;;
АК  «Ваше право»;https://advokat-amirova.com/;;79610444666;Уфа ул. Чернышевского д. 10а;;
Юридическая ассоциация;https://юристо.рф/;1@zakon12.ru;89024300101;г. Йошкар-Ола, пр. Гагарина, д. 2, оф. 238;;
"Юридический центр ""Твердый ЗнакЪ""";https://tverdyiznaklaw.ru/;info@tverdyiznaklaw.ru;79631529430;г.Иваново, ул.Богдана Хмельницкого, д.30А, оф. 20;;
Восточный бастион;https://eastbastion.ru/;zhuri01@yandex.ru;79502910808;г. Владивосток,  ул. Пушкинская, д. 32;;2,53612E+11
ФПК «Альтернатива»;https://fpk-alternativa.ru/;;78007776215;Новосибирск пр-т Карла Маркса д. 30, оф. 808;1,13548E+12;
Юридическая компания «Коллегия 78»;;kollegia78info@gmail.com;88129292992;г. Санкт-Петербург, Новгородская ул., д. 23, оф. 229;1,19785E+12;7842167998
БашЮрЗащита;https://lawufa.ru/;;79272369831;Уфа ул. Менделеева д. 170, оф. 208;;
Коллегия адвокатов «ARM IUST»;https://vk.com/club212264305;;79283384345;Ставрополь ул. Маршала Жукова д. 7, оф. 23;;
Кейс;https://casedv.ru/;dvcvl@mail.ru;79025241398;г. Владивосток, ул. Семёновская, д. 3а;;
ЮжУралЭксперт;http://uuexpert.com/;;73517761476;Челябинск ул. Свободы д. 155, оф. 309;;
Юрист52;https://law-52.ru/;;;Нижний Новгород ул. Алексеевская д. 24;3,17528E+14;
Европейская Юридическая Служба;https://lider-prav.com/;lider282011@mail.ru;79656710303;г. Благовещенск, ул. Богдана Хмельницкого, д. 20;1,1028E+12;2801157399
Центр юридической помощи;https://jurpomoshnik.ru/;;79217227442;Вологда ул. Герцена д. 63, оф 203;;
"Городской центр списания долгов ""Амнистия""";https://гцсд-амнистия.рф/;;88512201101;;;3,01708E+11
ФЕМИДА32;https://www.f032.ru/;;79208333300;Брянск ул. Горького д. 2А, оф. 212;;
Справочная юридическая служба;https://vk.com/juristservice;501-161@bk.ru;88172501161;г. Вологда, ул. Мира, д. 36;;
Мой юрист;https://myurist.center/;info@myurist.center;88006007016;г. Краснодар, 1-й проезд Филатова д. 4, оф. 401;1,2023E+12;2312290250
Юридический центр «Флагман»;https://kupipravo.ru/;;79995850052;Челябинск ул. Академика Королёва д. 10, оф. 211;;
Бюро арбитражных споров «Феникс»;https://arbitrphoenix.ru/;office@arbitrphoenix.ru;78124569094;г. Санкт-Петербург, ул. Таврическая, д. 11;;
Башилов, Носков и партнеры;https://bnplaw.ru/;;74956468759;Москва ул. Неверовского д. 10, стр. 3А;1,1977E+12;
Адвокат Кулаков И.Н.;http://vrn-36.com/;mnogo-advokatov36@yandex.ru;79202170018;г. Воронеж, ул. Ф. Энгельса, д. 48;;
Континенталь;https://pirmetov.ru/;;79224782562;Тюмень ул. Сакко д. 24, оф. 610;;
"ЮК ""Балтийская Фемида""";https://baltfemida.ru/;;79052133888;Санкт-Петербург площадь Александра Невского д.2, БЦ Москва;1,13785E+12;
Юридическая фирма «Магомедов и партнеры»;https://mag-law.ru/;;79882727273;Махачкала ул. Батырая д. 11, оф. 320;;
Де-Юрекс;https://deureks.ru/;;78124674066;Санкт-Петербург переулок Сапёрный дом 6, литер А, помещение 38н;1,15785E+12;
Юрист Групп Сибирь;https://yuristgs.ru/;;73852574722;г. Барнаул, пер. Геблера, д. 28;;
Деловой Дом;https://delovoydom.ru/;info@delovoydom.ru;79852273800;;;
Атлант;https://xn--90a1af.xn-----7kcbazpj3ani1azfcd6c7cyb.xn--p1ai/;;78126157826;Санкт-Петербург Владимирский пр. д.17,к.3, офис 307;;
Кузин и партнеры;https://kuzinpartners-bankrotstvo.ru/;office@kuzin-partners.ru;88006004180;г. Владимир, ул. Девическая,  д.15б;1,14333E+12;3327124313
Департамент правовых услуг;https://юрконсультация24.дпу.москва/;;74995888136;г. Москва, Пересветов пер., д. 8;1,19775E+12;9725019100
Центр Банкротства Граждан Юрия Водолагина;https://vodovlg.ru/;;79627599797;Волгоград ул. Рабоче-Крестьянская д. 22, оф. 503 (Ост. Пл. Советская);;
Прайм;https://prime-lc.ru/;;78123338033;Санкт-Петербург ул.Бутлерова д.42;1,07785E+12;
"Юридическая компания ""Простое решение""";https://yk-prosto.ru/;uk-prosto@yandex.ru;79333338707;;;
Адвокат Белоус А.М.;https://abelous.ru/;belous2177@gmail.com;79833006545;г. Новосибирск, ул.Виктора Шевелёва д.34, оф. 460;;4230018828
Филатов и Партнеры;https://bankrotstvo-chelyabinsk.ru/;;73512003448;Челябинск пр. Ленина д. 33;1,13745E+12;
Коллегия юристов | Альметьевск;https://vk.com/kollegiauristov;;79178668686;;;
Первое решение;https://финдолг.рф/;findolg.info@gmail.com;79170323455;г. Самара, Московское ш., д. 41;1,18631E+12;
Щит права;https://xn--80aafw9agm8c.xn--p1ai/;;78462060166;Самара ул. Авроры д. 114а, к.2, оф. 404;;
Скорая юридическая помощь;https://9911030.ru/;;79022911030;Самара ул. Мичурина д. 48;;
Безкредитофф;http://bezkreditoff.ru/;info@bezkreditoff.ru;88124073416;г. Санкт-Петербург, ул. Всеволода Вишневского, д. 12а, оф. 303;;
"Антикризисное бюро ""АРС""";http://arbitr127.ru/;arbitr127@mail.ru;78452212605;г. Саратов, ул. Московская, д.24;;
"Юридическая компания ""Вектор4""";https://vector4.ru/;pravo@vector4.ru;78126152217;г. Санкт-Петербург, ул. Гражданская, д. 21;;
Корса;https://spb.gk-korsa.ru/;spb@gk-korsa.ru;78129519991;г. Санкт-Петербург, Невский пр. д. 151, оф. 2;;
Ок Банкрот;https://okbankrot.ru/;;78006002884;Москва ул. Щепкина д. 28;1,18666E+12;
ГК-Гарант;https://гк-гарант.site/;;88122451930;г. Санкт-Петербург, пл. Карла Фаберже, д. 8, оф. 319.;;
Центр помощи должникам «Победа»;http://pobeda-tyumen.ru/;;73452564040;Тюмень ул. Республики д. 83, оф. 100;;
Праватон;http://www.pravaton.ru/;;88003507205;г. Ростов-на-Дону, ул. Города Волос д. 6, оф. 213, БЦ «Ростовский»;1,19238E+12;2310215440
Мое право;http://moepravo-online.ru/;moepravo.online@mail.ru;88002004810;;1,19028E+12;214007194
Премьер групп;https://premier-law.ru/;law@premier-law.ru;79633419404;г. Санкт-Петербург, Стремянная ул., д. 10, литер А, оф. 29;;
НЕдолжник;https://nedoljnik.ru/;;74742370878;Липецк ул. Валентины Терешковой д. 14;;
АЮР «Белая Полоса»;https://aur96.ru/;;79953336105;Екатеринбург ул. Шейнкмана д. 55, оф. 4.06;1,16966E+12;
Практика права;https://practika-prava.ru/;info@practika-prava.ru;74842333461;"г. Калуга, ул. Кирова, д. 20, БЦ ""Галерея"", оф. 310";3,18403E+14;4,02813E+11
Центр правовой защиты населения;https://xn--g1ame1a.xn--p1ai/;;78442502700;Волгоград ул. Коммунистическую д. 62;1,19775E+12;
Адвокат Горелкин С. А.;https://advokat-gorelkin.ru/;advokat.gorelkin@yandex.ru;78129206777;г. Санкт-Петербург, 4-я линия В.О., д. 35/37;;
Юридическое бюро «Юристея»;https://yuristeya.ru/;yuristeya@mail.ru;89106836032;г. Иваново, ул. Станционная, д. 13, оф. 1016;;
Центр банкротства физических лиц;https://bfl-centr.ru/;;79251577521;Москва Малый Дровяной переулок дом 6, офис 4;1,19775E+12;
Юридическая компания «Прав.ДА»;https://pravdaperm.ru/;;79922015000;Пермь ул. К. Цеткин д. 10А, оф. 425;;
Юрист Емельянова Ксения;https://emelyanova-ksenia.ru/;;79205158778;Липецк Коммунальная площадь д. 4;;
Давыдов и партнеры;https://www.advokatdavidov.ru/;info@advokatdavidov.ru;88007004777;Москва, ул Менжинского, д. 21;;
Юридическая фирма «Алькор»;https://alcor-bfl.ru/;alcorlegal@yandex.ru;79311051985;г. Москва, Малый Кисельный пер., д. 6с1;;
Белый Маркер;https://www.whitemarker.ru/;yola@whitemarker.ru;88007756644;;;
Ореол;https://xn--e1ajekbk9g.xn--p1ai/;;73512142144;Челябинск ул. Пушкина д. 66а;;
Юридическая Компания «Бизнес-Юрист»;https://b-urist.ru/;;74951092003;Москва Тетеринский переулок д. 12, строение 2, офис 109;1,12745E+12;
Юридический центр «НЕТДОЛГОФФ»;https://forma-prava.ru/;;78462192424;Самара ул. Гагарина д. 82А;;
НОРД-ЮРИСТ;https://www.nord29.ru/;;79314080077;Архангельск ул. Воскресенская дом 92 (отдельное крыльцо с торца здания);;
Юридическая компания «ИМПЕРИУМ»;https://www.yurist.ru.com/;imperium@yurist.ru.com;89250115007;г. Зеленоград, ул. Каменка, к.2003;;
ЦСД Армавир;https://csdarmavir.ru/;csdarmavir@yandex.ru;79384785588;Армавир (Краснодарский край);;
Ржанов и партнеры;https://r-partners.ru/;info@r-partners.ru;74957840060;г. Москва, ул. Дмитрия Ульянова, д. 20, корп. 1, офис 313;;
ЮЦ Гарантия;https://юц-гарантия.рф/;3818506@mail.ru;89930186505;;3,19548E+14;41105737952
Лекс Перитус;https://bankrot-artem.ru/;skp-vostok@mail.ru;74233774332;;;
Юридический центр: право и консалтинг;https://legal.msk.ru/;pravo@legal.msk.ru;79771920770;г. Москва, ул. Петровка, д. 17, стр. 4, оф. 69;1,02774E+12;7704027682
ЮК «Зенит»;https://zennit.ru/;;78005005423;Москва ул. Садовая-Кудринская д. 8, метро Баррикадная;1,17631E+12;
"ЮК ""Право Эксперт""";http://правоэксперт38.рф/;;;;;
Финансовая правда;https://fin-pravda.ru/;info@fin-pravda.ru;88007076413;г. Москва, ул. Селезневская, д. 11А, стр. 2, оф. 11;;
Юридическая компания «KZN LAW»;https://kzn-law.ru/;kznlaw02@yandex.ru;79872985559;г. Казань, ул. Дубравная, д. 2Д;;
Юрист-Гарант;https://urist-garant.ru/;;78314234470;Нижний Новгород ул. Дьяконова д. 34;1,14526E+12;
КРЕДИТАМНЕТ;https://kredita.net/;msk@kredita.net;88007751933;г. Москва, Холодильный пер, д.3, к.1, стр.3, пом.1, ком.1;1,2177E+12;7726480007
ЮК «Максимальная Защита»;https://max-defend.ru/;;73433022018;Екатеринбург ул. Красноармейская д. 10, офис № 18/08;1,19666E+12;
"Юридическая компания ""Армада""";https://dolganet.pro/;bp.ltd@yandex.ru;79841983186;г. Владивосток, ул. Тигровая, д. 30;;
Банкротофф;https://bankrotoff.org/;;78005552025;Москва ул. Автозаводская д. 23А, корп. 2;1,18775E+12;
Быть добру;http://www.companynpc.ru/;companynpc@mail.ru;78512200564;;;
Кулешина и Партнеры;https://kuleshina.ru/;;79899893669;;;
"Центр правовой помощи ""СоветникЪ""";https://vk.com/bankrotstvoarz;;79307009116;Арзамас (Нижегородская область);;
Банкирро;https://xn--80abwhoina.xn--p1ai/;;;Москва ул. Марксистская д. 22 стр. 1, офис 701/1;1,16775E+12;
До нуля;https://донуля.рф/;Info@donula.ru;79658137577;;;
"Юридическая компания ""Периметр""";https://vk.com/perimetrlawfirm;;79024671593;;;
Сибирский правовой центр «Максимум»;http://sbcenter-max.ru/;;73842558078;Кемерово ул. Ноградская д. 22;;
ЧаоДолг;https://chao-dolg.ru/;nocredit@chao-dolg.ru;88001011938;;;9710030172
Страна добрых дел;https://vk.com/strana_dobrih_del;;;г. ?Благовещенск, ул. Ленина, д. 120, оф. ?11;;
"Коллегия Юристов ""Финансист""";https://k-finansist.ru/;office@kollegia-finansist.ru;78126109811;г. Санкт-Петербург, Московский проспект, д.212, оф.4065;;
Правомир;http://www.pravomir.ru/;;73517777330;Челябинск ул. Курчатова д. 19, к. 2, оф. 10;1,0374E+12;
"Юридическая фирма ""ОБСИДИАН""";https://obsidianlaw.ru/;info@obsidianlaw.ru;88462110811;г. Самара, ул. Ульяновская, д. 52;;
ФЦБ;https://фцб.рф/;director@fcb.expert;88005111100;;1,2031E+12;3123474101
Экспресс Банкрот;http://express-bankrot.site/;;78612056464;г. Краснодар, ул. Красная, д. 65, оф. 5;;
Центр Финансовои? Свободы;https://xn------cddceghhhldi3cxawc6v.xn--p1ai/;;78002221625;;;
Сила Права;https://sila-prava.su/;;78182421685;Архангельск ул. Воскресенская д. 112, оф. 13-14;;
Центр Банкротства «Фемида»;https://bankrotstvo-femida.ru/;;;Нижний Новгород пр. Ленина д. 109;1,19528E+12;
Юридическая помощь Саратов;https://юрзащита-саратов.рф/;;78452985727;г. Саратов, Московская ул., д. 53;1,2064E+12;
Арбитражный управляющий Якупов И.Н.;;89297254435@mail.ru;79297254435;;;
Аллиам;https://www.alliam.ru/;;78005119002;Екатеринбург (Свердловская область);;
Центр законного списания долгов;https://xn--d1af4as.xn--p1ai/;;78007003144;Новосибирск Красный пр-кт д. 69;;
Юридический супермаркет;http://cvd.ru/;cvd@cvd.ru;88002343929;Нижний Новгород (Нижегородская область);1,1629E+12;2901266458
Центр правовой помощи;https://ur-cpp.ru/;urcppru@yandex.ru;8442500681;г. Волгоград, ул. 7-й Гвардейской Дивизии, д. 2, оф. 204;;
Правовая защита заемщиков;https://s-peterburg.mirbezdolgov.ru/;;78126113023;Санкт-Петербург Садовая улица д. 51 литер а, помещение 303;1,16785E+12;
Егоров и Партнеры;https://advokat-egorov.ru/;;79107402451;Москва Большой Строченовский переулок 22/25, стр.1;1,1846E+12;
ПравоЗащита;https://urservices.ru/;;78003014220;Москва Лефортовский переулок д. 4, стр. 3;1,19775E+12;
Ассоциация по защите прав заемщиков;https://antiko22.ru/;;79039100079;г. Барнаул, ул. Пролетарская, д. 131, оф.307;;
Юридическое Агентство «Альтернатива»;https://bankrotstvoekb.ru/;;73433285309;Екатеринбург ул. проспект Ленина д. 20, офис 21;1,15668E+12;
АБ г. Москвы «Дёмин и Партнеры»;https://advokat-demin.ru/;;79251456958;Москва ул. Верхняя Радищевская д. 13/15;1,1677E+12;
Адвокат Владивосток;https://адвокат-владивосток.рф/;gornov-rodnik@bk.ru;79025553300;г. Владивосток, пер. Днепровский, д. 5/1;;
ФПА;https://fpa.ru/;;;Санкт-Петербург улица Ефимова дом 4а литер а, помещение 21н офис 425;1,16785E+12;
Единый центр защиты;https://edin.center/;;78007009002;Москва ул. Большая Сухаревская Площадь д.16/18;1,18703E+12;
Юнова;https://yunova.ru/;;78462192218;Самара ул. Революционная д. 126, оф. 1;;
Центральная коллегия адвокатов;https://moscowadvokat.ru/;info@moscowadvokat.ru;74957408685;г. Москва, ул. Таганская, д.9;;
Адвокатское бюро «Антонов и партнеры»;https://pravo163.ru/;antonov.partner@gmail.com;74992883432;г. Санкт-Петербург, Спасский пер., д. 14/35, лит. А, оф. 1304;;
Юридическая компания «Credix»;https://credix.su/;credix@credix.su;74994308006;г. Москва, Большой Козихинский пер., д. 22, ст. 1, оф. 40;3,18785E+14;5,90807E+11
Аристократ;https://aristokrat-nsk.ru/;;73832876564;Новосибирск ул. Кирова д. 48, оф. 901;1,16548E+12;
Фурман и партнеры;https://furmanpartners.ru/;;78432034786;Казань ул. Парижской коммуны д. 6, оф. 36;;
Национальная служба списания долгов;https://nssd.su/;info@nssd.su;79666665254;;;
Вы с нами;https://visnamibankrot.ru/;;;Екатеринбург (Свердловская область);3,22775E+14;7,44724E+11
"ЮК ""Юр-Консалт""";https://yurconbfl.ru/;Infozabota78@yandex.ru;79311059155;г. Санкт-Петербург, пр-кт Петровский, д. 14, к. 6, оф. 20-Н;;
Региональный консалтинговый центр;https://rkc29.ru/;rkc29@yandex.ru;88006007235;;1,1229E+12;2901228452
Имеем Право;https://imeem-pravo.ru/;;73452680753;Екатеринбург пр-т Ленина д. 101к2, каб. 139;;
Правэкс;http://xn--80aeyrfj6f.xn--p1ai/;;78003330288;Челябинск пр-т Ленина д. 21в, каб. 2000;1,10745E+12;
Смолин;https://smolin.one/;;79951128580;Москва Дербеневская наб. дом. 1/2;1,18775E+12;
Лукьянов и партнеры;https://lukyanov-partners.ru/;;78452990698;Саратов ул. Рабочая д. 22, оф. 204;;
Юридическая помощь Раздолгин С.В.;https://yurist-razdolgin.ru/;sergei-v-r@yandex.ru;79093761069;;;
Юридическая компания «Юрвиста»;https://urvista.ru/;info@urvista.ru;74952669998;г. Москва, ул. Покровка, д. 3/7, стр. 1Б;;
Адвокат Слабеев Н.С.;https://advokatslabeev.ru/;advokat-slabeev@yandex.ru;73412576202;г. Ижевск, БЦ Форум оф. 409/9, 409/10, 409/11;;
Кепин и Партнеры;https://kepin-law.ru/;kepin@kepin-law.ru;88003028308;г. Владимир, ул. Студеная гора, д.36, оф. 401-406;1,2033E+12;3327145465
Кацайлиди и партнеры;https://katsaylidi.ru/;;73433112540;Екатеринбург пер. Отдельный д. 5;1,1266E+12;
Кредитный юрист;https://кредитюрист.рф/;;88124099671;Екатеринбург (Свердловская область);1,15785E+12;
Атика;https://www.atika-grup.ru/;;73432372707;Екатеринбург улица 8 Марта дом 120, офис 303;1,15666E+12;
Омбудсмен;https://ombudsman66.com/;;73432243311;Екатеринбург ул. Карла Либкнехта д. 22, оф. 612Д;1,15666E+12;
ЮРСЕРВИС Анны Косныревой;https://urservise.com/;;73842491935;Кемерово ул. Кузбасская д. 10, оф. 112;;
Хэлп МИ;https://helpmecentr.ru/;;78007008272;Москва ул. Маршала Рыбалко д. 2, корп. 8, оф. 202;1,15623E+12;
ДонЮрист;https://donjurist.ru/;;;Ростов-на-Дону Комсомольская площадь, ул. Ивановского д. 38, оф. 706;1,2061E+12;
Москонсалт;https://urcompanya.ru/;office@urcompanya.ru;88005557910;г. Владивосток, ул. Океанский проспект, д. 135, оф. 304;;
ДолгЦентр;https://dolg-centr.ru/novosib/;;73832278214;;3,15631E+14;6,31916E+11
РосПравда;https://rospravda.ru/;;88002225010;г. Москва, ул. Марксистская, д. 34, к. 8, оф. 9;;
Юристы без границ;https://uristybezgranic.ru/;pravobiznes@rambler.ru;79020124613;;1,1819E+12;1901139610
Юпитер;https://upiter.center/;info@upiter.center;88005053586;"г. Смоленск, ул. Дзержинского, д. 2; г. Барнаул, пр. Ленина, д. 147А; г. Омск, ул. Маяковского, д.17";;
Освободим;https://osvobodim.com/;;73832855853;Новосибирск ул. Крылова д. 34;1,18775E+12;
Росбанкрот;https://rosbankrot.ru/;;78005506767;;;
"Юридическая фирма ""Вайс и Партнеры""";https://vk.com/vais_partners;vaispartners29@gmail.com;89509624174;;;
Кредитный советник;https://kreditsovetnik.ru/;info@kreditsovetnik.ru;74957205208;г.Москва, ул.Воронцовская, д.35б к.1;1,2077E+12;7726462350
Адвокат по банкротству;https://адвокатпобанкротству.рф/;;84991136590;г. Москва, Холодильный пер., д. 3, корп. 1, стр. 3;3,21213E+14;2,1271E+11
АЙКЬЮ ГРУПП;https://iqrus.ru/;info@iqrus.ru;88003508329;"г. Москва, Большой Трехгорный пер., д.15, стр.1;";;
ул. Воротынская, д. 8/1;;;;;;
ул. Соколово-Мещерская д. 25;;;;;;
"Варшавское шоссе, д. 125, к. 3, стр. 1""";;6321441801;;;;
Вы Банкрот;https://vibankrot.ru/;;74952233540;Москва ул. 2-я Мытищинская д.2, стр. 8, офис 111;1,1977E+12;
Success finance;https://fin-success.biz/;;78001001068;г. Грозный, ул. Шейха Али Митаева, д. 12;1,15775E+12;7717293829
Правовое бюро «СиницынЪ и партнеры»;https://sinitsyn.org/;;79107435262;г. Брянск, ул. Бежицкая, д. 185;3,22326E+14;
Коллегия адвокатов «SEDLEX»;https://sedlex.pro/;;79670574747;Москва ул. Машкова д. 5, стр. 1;1,18775E+12;
Юриус Е;https://yurius-e.ru/;;79961831561;Екатеринбург улица Щорса д. 7, офис 304;1,15666E+12;
Lidia Group;http://lidiagroup.ru/;info@lidiagroup.ru;79999756138;г. Москва, ул. Клары Цеткин, д. 31;;7,73131E+11
Покутнева Елена Владимировна;https://nskbankrot.ru/;;79232599399;Новосибирск ул. Шевченко д. 15;3,18548E+14;
Центр права и защиты;https://cpravo.ru/;;74956693597;Москва улица Щепкина дом 28, эт 4 пом I ком 16;5,14775E+12;
Инвест Консалт;https://www.investconsult-sp.ru/;;79268150701;Сергиев Посад ул. Кооперативная д. 2, ТЦ «Мамонтов», 3 этаж;1,14504E+12;
ЮК «Арбитр»;https://arbitr-uc.ru/;;79833028235;Новосибирск пр-т Карла Маркса д. 30, этаж 4,  оф. 429/1, (Метро Студенческая);1,0654E+12;
Юником.Право;https://unicompravo.ru/;;79587714039;Санкт-Петербург Митрофаньевское ш. д. 2;3,1545E+14;
Грачев и партнеры;https://yurist-bankrotstvo.ru/;;74951183232;Москва улица Сергея Макеева дом 1, эт 2 пом I оф 5;1,14775E+12;
Нет-кредиту.рф;https://нет-кредиту.рф/;urzasita@yandex.ru;88006004175;;1,2118E+12;
Юридическая контора;https://uridkontora.ru/;uridkontora@mail.ru;89140073742;г. Братск, ул. Пирогова, д. 18, кв. 78;1,2038E+12;3805735797
Нева-Право;https://www.nevapravo.ru/;;79587714047;Санкт-Петербург ул. Малая Морская д.11 оф.402;1,18785E+12;
Юридическая группа «ДиСт»;https://urgruppadist.ru;urgruppadist@yandex.ru;84959721228;г. Москва, ул. Нагатинская, д. 16, оф. 3-5-Б;;
Бережное Банкротство;https://xn--80abe5aohbnkjb.xn--p1acf/;;78126191122;Санкт-Петербург ул. Б. Пороховская д. 22;3,13785E+14;
Лебедь и ПАРТНЕРЫ;https://vk.com/lebedmsk;;79626616699;Москва ул. Лесная д. 39;3,12775E+14;
Коллегия Правовой Поддержки;https://mospravo.info/;mail@mospravo.info;84957922410;;;
Репутация права;http://xn----7sbbajow8cdegtm8b6i.xn--p1ai/;;79175847959;Москва ул. Адмирала Макарова д. 6к13;1,18505E+12;
Юринформ 61;http://bankrot-ufo.plp7.ru/;;79614199119;Ростов-на-Дону ул. Красноармейская д. 176/46, оф. 704;1,1762E+12;
Палюпин и партнеры;https://palyulin.ru/;;74956646337;Москва Угловой пер. д.27;5,16775E+12;
Ависта - Судебные юристы;http://arbitr66.ru/;;73432686928;Екатеринбург ул. Большакова дом 75, офис 66;1,15666E+12;
Единая служба банкротства;https://xn----7sbbabci0a5bd2anzelpbf.xn--p1ai/;;79808888329;Москва ул. Б.Тульская д. 11;3,14775E+14;
Финансовый защитник;https://finzashitnik.ru/;pzfz@yandex.ru;79659905113;г. Бердск, ул. Ленина, 69, офис 314;;5402018769
Лекс Юрис;https://lex-juris.ru/;;79112766572;Санкт-Петербург Боровая улица д. 32, офис 407А;1,16785E+12;
Цитадель;http://dolgitorgi.ru/;;79516511545;Санкт-Петербург пр. Шаумяна, д. 8 офис 410а;1,16785E+12;
Помоги центр;https://pomogi-centr.ru/;info@pomogi-centr.ru;88003332997;г. Тверь, пр-т Победы, д. 3, оф. 22;1,2069E+12;6950238901
Методы Защиты;http://www.metodizashiti.ru/;;79110991095;"Санкт-Петербург Басков переулок дом 3, корпус ""Б"", офис 1-Н, ст. метро Чернышевская";1,18785E+12;
Терраконсалт;https://terraconsult.ru/;;74993224096;Москва Ленинградский проспект дом 47, строение 2, офис 202;1,13505E+12;
